exp,file_index,channel,bout_id,bout_start_seconds,bout_end_seconds,n_calls,bout_duration_seconds
237,56,30,41.0,66.609,66.758,2,0.1487280000001192
237,56,30,42.0,0.0,358.726,571,576.9392559999978
237,58,30,43.0,78.201,156.979,78,78.77707999999984
237,58,30,44.0,168.425,217.208,18,48.78283999999985
237,58,30,45.0,237.707,244.264,8,6.557303999998112
237,58,30,46.0,256.381,262.391,2,6.00997599999755
237,58,30,47.0,296.864,335.3,33,38.435959999998886
237,59,30,48.0,24.096,132.626,117,108.53003999999783
237,59,30,49.0,142.664,283.8,66,141.13573600000018
237,59,30,50.0,1.076,355.189,50,57.36165600000095
237,60,30,51.0,77.76,90.064,6,12.303479999998672
237,61,10,52.0,180.622,212.316,37,31.693304000000353
237,61,30,53.0,231.48,233.711,3,2.2307760000003327
237,62,30,54.0,89.289,150.295,77,61.00632800000312
237,62,30,55.0,199.583,218.105,18,18.521335999997973
237,62,30,56.0,231.49,242.779,11,11.289335999998002
237,62,30,57.0,273.426,285.601,6,12.175223999998707
237,63,10,58.0,0.331,358.274,1576,1222.522232000003
237,67,30,59.0,13.463,157.206,143,143.74245599999995
237,67,30,60.0,184.91,228.35,34,43.43948000000091
237,67,30,61.0,0.599,356.852,146,142.58699999999953
237,68,30,62.0,56.856,108.173,73,51.31634400000257
237,68,30,63.0,122.159,133.345,5,11.18616800000018
237,68,30,64.0,169.273,237.629,77,68.35634399999981
237,68,10,65.0,275.035,290.383,17,15.347576000000117
237,69,30,66.0,4.649,96.782,67,92.13336800000252
237,70,30,67.0,203.85,228.126,42,24.276215999998385
237,70,30,68.0,302.532,314.458,15,11.925751999999193
237,71,30,69.0,182.817,201.51,6,18.6931119999972
237,71,30,70.0,222.304,223.621,2,1.3173679999999877
237,72,30,71.0,140.731,202.208,45,61.47698400000081
237,74,30,72.0,122.109,123.796,4,1.6871599999976752
237,74,30,73.0,149.864,173.216,29,23.35167200000069
237,74,30,74.0,186.906,203.171,7,16.26533599999675
237,75,30,75.0,86.318,90.969,9,4.651128000001336
237,76,10,76.0,174.311,236.668,83,62.357239999997546
237,76,30,77.0,284.748,284.905,2,0.1574319999999716
237,77,30,78.0,274.758,274.919,2,0.16114400000151363
237,79,10,79.0,319.42,335.636,20,16.215543999998772
237,83,30,80.0,52.448,63.592,25,11.143800000001647
237,89,20,81.0,63.204,93.698,46,30.494456000000355
237,89,30,82.0,118.007,119.412,2,1.4050479999968957
237,99,30,83.0,157.188,174.122,22,16.93452000000252
237,99,30,84.0,194.921,210.342,13,15.421175999996194
237,100,20,85.0,32.253,38.551,3,6.2977200000023
237,100,30,86.0,262.571,287.026,38,24.455415999997058
237,102,30,87.0,21.847,36.518,20,14.671095999998215
237,108,30,88.0,93.226,114.756,29,21.52908000000025
237,111,30,89.0,282.505,290.593,3,8.087032000003092
237,118,30,90.0,165.042,166.592,2,1.550200000005134
237,119,30,91.0,221.72,234.737,7,13.016567999999097
237,121,30,92.0,75.177,75.468,3,0.29119200000423007
237,124,30,93.0,1.477,357.613,3,4.787447999995493
237,125,30,94.0,220.404,221.082,2,0.6773680000042077
237,125,30,95.0,231.162,235.772,2,4.609400000001187
237,139,30,96.0,107.744,108.96,2,1.215991999997641
237,143,30,97.0,318.577,332.759,5,14.181752000004053
237,144,30,98.0,319.148,332.308,3,13.159287999995286
237,144,30,99.0,345.949,351.78,2,5.831160000001546
237,157,30,100.0,298.327,299.546,4,1.2186799999981304
237,157,30,101.0,343.064,344.406,2,1.3420719999994617
237,160,30,102.0,104.2,118.614,11,14.414071999999578
237,167,30,103.0,48.111,49.545,2,1.4346160000059172
237,171,30,104.0,179.36,179.619,2,0.2588079999986803
237,173,30,105.0,232.252,249.056,26,16.803960000004736
237,173,30,106.0,273.065,278.794,5,5.729271999996854
237,173,30,107.0,289.038,290.63,2,1.5925680000000284
237,174,30,108.0,205.33,205.442,2,0.11173599999892758
237,174,10,109.0,257.113,260.865,9,3.7515439999988303
237,181,30,110.0,212.557,213.252,2,0.695160000002943
237,182,30,111.0,287.2,290.983,3,3.7829040000069654
237,182,30,112.0,306.838,314.211,3,7.372664000009536
237,183,30,113.0,72.502,75.677,3,3.174648000000161
237,183,30,114.0,137.468,144.81,3,7.342327999998815
237,183,30,115.0,0.473,355.95,83,87.99077600000601
237,184,30,116.0,35.971,74.247,33,38.27570399999968
237,185,30,117.0,220.395,234.465,21,14.07013600000937
237,186,30,118.0,4.856,18.225,10,13.368183999991743
237,187,30,119.0,217.087,218.184,2,1.0972079999919515
237,187,30,120.0,285.817,297.882,3,12.065656000006129
237,188,30,121.0,26.486,29.986,5,3.5004080000071554
237,189,30,122.0,250.515,250.675,2,0.160120000000461
237,190,30,123.0,215.421,216.204,3,0.7834799999982351
237,191,30,124.0,14.011,19.943,3,5.931895999994595
237,191,30,125.0,318.076,334.172,25,16.095608000003267
237,191,30,126.0,351.972,353.042,2,1.0707120000006398
237,194,10,127.0,151.571,185.012,25,33.44127199999639
237,195,30,128.0,178.361,186.015,3,7.653623999998672
237,196,20,129.0,351.748,352.352,3,0.6040240000002086
237,201,30,130.0,29.249,30.616,2,1.366519999995944
237,201,30,131.0,151.859,152.079,2,0.21989599999506027
237,202,30,132.0,23.146,32.275,3,9.129591999997501
237,203,20,133.0,244.573,252.76,5,8.186360000006971
237,204,30,134.0,261.097,261.237,2,0.13951200000883546
237,205,10,135.0,0.035,358.386,86,50.92197599999781
237,209,30,136.0,88.823,89.517,3,0.6934959999925923
237,213,30,137.0,50.654,51.786,3,1.1322800000052666
237,215,30,138.0,4.371,6.39,2,2.0195760000060545
237,218,30,139.0,288.188,290.609,2,2.4214959999953862
237,227,30,140.0,129.457,138.857,2,9.400055999998585
237,236,30,141.0,185.364,185.709,2,0.3450799999991432
237,249,30,142.0,352.74,357.519,2,4.778744000010192
237,250,30,143.0,8.815,10.534,2,1.7192880000075093
237,250,30,144.0,63.789,64.244,2,0.4551600000122562
237,250,30,145.0,149.245,152.722,3,3.4772400000074413
237,255,10,146.0,45.777,46.124,2,0.34648800001014024
237,255,10,147.0,270.63,273.045,2,2.4145839999982854
237,256,30,148.0,242.865,252.403,2,9.538295999998809
237,259,30,149.0,325.501,327.53,2,2.029048000011244
237,262,10,150.0,84.274,90.334,2,6.059639999992214
