exp,file_index,channel,bout_id,bout_start_seconds,bout_end_seconds,n_calls,bout_duration_seconds
237,0,30,1.0,30.903,40.403,2,9.499511999999996
237,2,30,2.0,275.841,276.221,2,0.38040799999998853
237,10,30,3.0,64.813,66.955,2,2.1413039999997636
237,10,30,4.0,156.764,189.571,24,32.80652000000009
237,13,30,5.0,203.048,203.49,2,0.44274399999994785
237,15,30,6.0,339.923,345.67,11,5.74693599999955
237,19,20,7.0,78.883,79.032,2,0.14923999999973603
237,20,30,8.0,194.71,196.511,4,1.8012079999998605
237,22,30,9.0,36.284,59.538,12,23.254392000000735
237,22,30,10.0,70.375,110.776,49,40.4010159999998
237,25,30,11.0,26.619,56.684,53,30.06578399999853
237,25,30,12.0,111.188,131.748,13,20.559864000000744
237,27,30,13.0,133.948,141.721,10,7.77330400000028
237,28,30,14.0,134.644,145.468,17,10.824055999999473
237,28,30,15.0,164.602,164.834,2,0.23180000000138534
237,34,30,16.0,241.552,262.231,19,20.678775999998834
237,38,30,17.0,134.145,157.302,31,23.156983999999284
237,38,30,18.0,303.414,311.719,12,8.304888000000574
237,39,30,19.0,263.412,268.352,4,4.939511999999013
237,44,30,20.0,105.194,119.597,12,14.402807999998913
237,44,30,21.0,308.414,321.819,24,13.404663999999684
237,45,30,22.0,222.03,222.993,2,0.9628080000002228
237,45,30,23.0,248.138,252.767,11,4.628344000000652
237,48,10,24.0,78.614,83.301,4,4.686968000001798
237,48,30,25.0,101.081,133.224,37,32.142712000000756
237,49,30,26.0,114.572,116.93,4,2.3577519999998913
237,49,10,27.0,160.117,180.092,34,19.974136000000726
237,49,30,28.0,190.803,233.549,37,42.745976000001974
237,49,30,29.0,276.654,288.62,4,11.965943999999581
237,50,30,30.0,133.755,208.597,104,74.84235999999873
237,50,30,31.0,228.633,237.006,12,8.37272799999846
237,51,30,32.0,177.255,236.773,111,59.518456000001606
237,51,30,33.0,281.315,291.234,14,9.918840000002092
237,52,30,34.0,59.32,81.102,47,21.78252000000066
237,52,30,35.0,104.256,105.127,2,0.8710320000027423
237,53,30,36.0,230.536,262.213,56,31.676791999998386
237,54,30,37.0,165.646,165.812,2,0.16549600000143982
237,55,30,38.0,21.01,77.458,73,56.44850399999996
237,55,30,39.0,118.173,122.515,8,4.342007999999623
237,55,30,40.0,300.144,303.339,6,3.1947440000003553
