exp,file_num,event_type,start_time_file_sec,stop_time_file_sec,start_time_experiment,stop_time_experiment,start_time_experiment_sec,stop_time_experiment_sec,start_time_real,stop_time_real,RMS_arena_1,RMS_arena_2,RMS_underground,channel,assigned_location,duration_sec,bout_id,position_in_bout
211,0,alarm,96.402,96.431,00:01:36.402,00:01:36.431,96.401792,96.430584,2025-03-12 15:47:26.401792,2025-03-12 15:47:26.430584,-48.409447,-54.45252,-52.695343,10,arena_1,0.029,1.0,1.0
211,0,alarm,104.662,104.688,00:01:44.662,00:01:44.688,104.661888,104.688376,2025-03-12 15:47:34.661888,2025-03-12 15:47:34.688376,-46.55284,-55.108013,-56.18803,10,arena_1,0.026,1.0,2.0
211,0,alarm,116.78,116.796,00:01:56.780,00:01:56.796,116.78016,116.79628,2025-03-12 15:47:46.780160,2025-03-12 15:47:46.796280,-43.583637,-54.2102,-55.92134,10,arena_1,0.016,,
211,0,alarm,127.252,127.28,00:02:07.252,00:02:07.280,127.252224,127.28012,2025-03-12 15:47:57.252224,2025-03-12 15:47:57.280120,-47.12774,-54.846832,-56.19871,10,arena_1,0.028,2.0,1.0
211,0,alarm,127.382,127.422,00:02:07.382,00:02:07.422,127.382272,127.422072,2025-03-12 15:47:57.382272,2025-03-12 15:47:57.422072,-46.612774,-54.034023,-55.28734,10,arena_1,0.04,2.0,2.0
211,0,alarm,157.65,157.662,00:02:37.650,00:02:37.662,157.650048,157.661688,2025-03-12 15:48:27.650048,2025-03-12 15:48:27.661688,-50.113342,-55.173336,-28.86795,30,underground,0.012,,
211,0,alarm,200.014,200.053,00:03:20.014,00:03:20.053,200.01408,200.052984,2025-03-12 15:49:10.014080,2025-03-12 15:49:10.052984,-46.81976,-54.491074,-55.362267,10,arena_1,0.039,,
211,0,alarm,216.01,216.026,00:03:36.010,00:03:36.026,216.009984,216.025592,2025-03-12 15:49:26.009984,2025-03-12 15:49:26.025592,-50.406643,-53.82792,-30.028955,30,underground,0.016,3.0,1.0
211,0,alarm,217.961,217.982,00:03:37.961,00:03:37.982,217.961216,217.98156,2025-03-12 15:49:27.961216,2025-03-12 15:49:27.981560,-52.90413,-55.586742,-47.276733,30,underground,0.02,3.0,2.0
211,0,alarm,218.381,218.404,00:03:38.381,00:03:38.404,218.3808,218.403576,2025-03-12 15:49:28.380800,2025-03-12 15:49:28.403576,-54.045662,-55.452976,-49.072323,30,underground,0.023,3.0,3.0
211,0,alarm,218.618,218.749,00:03:38.618,00:03:38.749,218.618112,218.749048,2025-03-12 15:49:28.618112,2025-03-12 15:49:28.749048,-53.491432,-55.42479,-42.437668,30,underground,0.131,3.0,4.0
211,0,alarm,218.909,218.948,00:03:38.909,00:03:38.948,218.909184,218.948088,2025-03-12 15:49:28.909184,2025-03-12 15:49:28.948088,-53.918194,-55.510246,-39.91018,30,underground,0.039,3.0,5.0
211,0,alarm,219.416,219.436,00:03:39.416,00:03:39.436,219.415936,219.43564,2025-03-12 15:49:29.415936,2025-03-12 15:49:29.435640,-53.896027,-55.837193,-43.776394,30,underground,0.02,3.0,6.0
211,0,alarm,219.61,219.646,00:03:39.610,00:03:39.646,219.609856,219.64556,2025-03-12 15:49:29.609856,2025-03-12 15:49:29.645560,-53.755135,-55.03471,-33.392586,30,underground,0.036,3.0,7.0
211,0,alarm,226.237,226.293,00:03:46.237,00:03:46.293,226.236672,226.292856,2025-03-12 15:49:36.236672,2025-03-12 15:49:36.292856,-46.465107,-54.84099,-54.289352,10,arena_1,0.056,3.0,8.0
211,0,alarm,226.754,226.782,00:03:46.754,00:03:46.782,226.754176,226.78156,2025-03-12 15:49:36.754176,2025-03-12 15:49:36.781560,-45.693604,-55.255352,-55.0943,10,arena_1,0.027,3.0,9.0
211,0,alarm,232.222,232.286,00:03:52.222,00:03:52.286,232.222336,232.286456,2025-03-12 15:49:42.222336,2025-03-12 15:49:42.286456,-44.17849,-54.324688,-54.15636,10,arena_1,0.064,3.0,10.0
211,0,alarm,232.373,232.476,00:03:52.373,00:03:52.476,232.373248,232.476024,2025-03-12 15:49:42.373248,2025-03-12 15:49:42.476024,-44.758877,-54.538216,-50.476234,10,arena_1,0.103,3.0,11.0
211,0,alarm,232.526,232.537,00:03:52.526,00:03:52.537,232.52608,232.537336,2025-03-12 15:49:42.526080,2025-03-12 15:49:42.537336,-49.373325,-53.925003,-36.852436,10,underground,0.011,3.0,12.0
211,0,alarm,232.851,232.885,00:03:52.851,00:03:52.885,232.8512,232.884728,2025-03-12 15:49:42.851200,2025-03-12 15:49:42.884728,-46.527245,-54.51087,-50.6686,10,arena_1,0.034,3.0,13.0
211,0,alarm,238.769,238.801,00:03:58.769,00:03:58.801,238.768512,238.800632,2025-03-12 15:49:48.768512,2025-03-12 15:49:48.800632,-45.345818,-54.124527,-55.993824,10,arena_1,0.032,3.0,14.0
211,0,alarm,287.862,287.885,00:04:47.862,00:04:47.885,287.861504,287.88492,2025-03-12 15:50:37.861504,2025-03-12 15:50:37.884920,-38.350266,-48.673687,-27.18231,30,underground,0.023,4.0,1.0
211,0,alarm,296.575,296.64,00:04:56.575,00:04:56.640,296.57472,296.639736,2025-03-12 15:50:46.574720,2025-03-12 15:50:46.639736,-45.56198,-54.157223,-56.047775,10,arena_1,0.065,4.0,2.0
211,0,alarm,348.025,348.035,00:05:48.025,00:05:48.035,348.024576,348.034808,2025-03-12 15:51:38.024576,2025-03-12 15:51:38.034808,-51.36633,-54.388687,-32.986687,30,underground,0.01,,
211,1,alarm,13.245,13.262,00:06:13.245,00:06:13.262,373.24544,373.2622,2025-03-12 15:52:03.245440,2025-03-12 15:52:03.262200,-48.711494,-53.66593,-27.683758,30,underground,0.017,5.0,1.0
211,1,alarm,19.396,19.429,00:06:19.396,00:06:19.429,379.39584,379.42924,2025-03-12 15:52:09.395840,2025-03-12 15:52:09.429240,-53.700302,-55.71016,-34.25442,30,underground,0.033,5.0,2.0
211,1,alarm,32.163,32.175,00:06:32.163,00:06:32.175,392.162688,392.175224,2025-03-12 15:52:22.162688,2025-03-12 15:52:22.175224,-48.75997,-54.842472,-27.826836,30,underground,0.013,6.0,1.0
211,1,alarm,33.358,33.373,00:06:33.358,00:06:33.373,393.357568,393.373432,2025-03-12 15:52:23.357568,2025-03-12 15:52:23.373432,-40.105762,-49.574512,-26.94582,10,underground,0.016,6.0,2.0
211,1,alarm,38.607,38.624,00:06:38.607,00:06:38.624,398.60672,398.624248,2025-03-12 15:52:28.606720,2025-03-12 15:52:28.624248,-48.491272,-55.413647,-45.28338,10,underground,0.018,6.0,3.0
211,1,alarm,38.725,38.805,00:06:38.725,00:06:38.805,398.724992,398.804728,2025-03-12 15:52:28.724992,2025-03-12 15:52:28.804728,-45.571625,-54.6895,-52.437965,10,arena_1,0.08,6.0,4.0
211,1,alarm,39.226,39.251,00:06:39.226,00:06:39.251,399.225728,399.250808,2025-03-12 15:52:29.225728,2025-03-12 15:52:29.250808,-45.995983,-55.283966,-52.45067,10,arena_1,0.025,6.0,5.0
211,1,alarm,46.967,46.985,00:06:46.967,00:06:46.985,406.967168,406.984824,2025-03-12 15:52:36.967168,2025-03-12 15:52:36.984824,-50.682888,-54.47588,-28.676678,30,underground,0.018,6.0,6.0
211,1,alarm,85.512,85.542,00:07:25.512,00:07:25.542,445.511936,445.542392,2025-03-12 15:53:15.511936,2025-03-12 15:53:15.542392,-47.56726,-54.55975,-55.979877,10,arena_1,0.03,7.0,1.0
211,1,alarm,86.652,86.68,00:07:26.652,00:07:26.680,446.652416,446.680056,2025-03-12 15:53:16.652416,2025-03-12 15:53:16.680056,-48.166397,-54.88957,-51.693844,30,arena_1,0.028,7.0,2.0
211,1,alarm,87.054,87.132,00:07:27.054,00:07:27.132,447.054336,447.132408,2025-03-12 15:53:17.054336,2025-03-12 15:53:17.132408,-47.532585,-53.848137,-48.05075,30,arena_1,0.078,7.0,3.0
211,1,alarm,87.262,87.29,00:07:27.262,00:07:27.290,447.262208,447.289848,2025-03-12 15:53:17.262208,2025-03-12 15:53:17.289848,-50.28612,-54.78014,-41.955875,30,underground,0.028,7.0,4.0
211,1,alarm,87.927,87.945,00:07:27.927,00:07:27.945,447.926912,447.94508,2025-03-12 15:53:17.926912,2025-03-12 15:53:17.945080,-49.122196,-53.286938,-28.947876,30,underground,0.018,7.0,5.0
211,1,alarm,165.291,165.331,00:08:45.291,00:08:45.331,525.291264,525.330936,2025-03-12 15:54:35.291264,2025-03-12 15:54:35.330936,-47.084152,-54.277,-54.568363,10,arena_1,0.04,,
211,1,alarm,183.468,183.483,00:09:03.468,00:09:03.483,543.46816,543.483,2025-03-12 15:54:53.468160,2025-03-12 15:54:53.483000,-50.412643,-54.13076,-26.037617,30,underground,0.015,,
211,1,alarm,200.44,200.451,00:09:20.440,00:09:20.451,560.43968,560.450936,2025-03-12 15:55:10.439680,2025-03-12 15:55:10.450936,-50.470333,-55.118744,-35.182106,30,underground,0.011,,
211,1,alarm,212.329,212.375,00:09:32.329,00:09:32.375,572.32896,572.375032,2025-03-12 15:55:22.328960,2025-03-12 15:55:22.375032,-45.723915,-54.88825,-56.30313,10,arena_1,0.046,8.0,1.0
211,1,alarm,214.059,214.094,00:09:34.059,00:09:34.094,574.059264,574.094456,2025-03-12 15:55:24.059264,2025-03-12 15:55:24.094456,-48.500004,-55.426186,-56.26248,10,arena_1,0.035,8.0,2.0
211,1,alarm,214.205,214.233,00:09:34.205,00:09:34.233,574.205056,574.233336,2025-03-12 15:55:24.205056,2025-03-12 15:55:24.233336,-44.76033,-54.77027,-56.17984,10,arena_1,0.028,8.0,3.0
211,1,alarm,253.833,253.856,00:10:13.833,00:10:13.856,613.833088,613.855992,2025-03-12 15:56:03.833088,2025-03-12 15:56:03.855992,-51.770863,-54.82132,-35.702366,30,underground,0.023,,
211,1,alarm,285.001,285.011,00:10:45.001,00:10:45.011,645.000832,645.010936,2025-03-12 15:56:35.000832,2025-03-12 15:56:35.010936,-50.71739,-55.404438,-47.6647,30,underground,0.01,,
211,1,alarm,327.803,327.826,00:11:27.803,00:11:27.826,687.80288,687.82604,2025-03-12 15:57:17.802880,2025-03-12 15:57:17.826040,-49.474724,-54.789616,-53.560482,10,arena_1,0.023,9.0,1.0
211,1,alarm,328.619,328.632,00:11:28.619,00:11:28.632,688.619136,688.631544,2025-03-12 15:57:18.619136,2025-03-12 15:57:18.631544,-52.69434,-55.39679,-42.21613,30,underground,0.012,9.0,2.0
